Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2005,9,"9,495",,"9,495"
2005,10,"13,125",,"13,125"
2005,11,"27,905",,"27,905"
2005,12,"40,463",,"40,463"
2005,TOTAL,"90,988",0,"90,988"
2006,1,"49,275",,"49,275"
2006,2,"77,801",,"77,801"
2006,3,"138,132",,"138,132"
2006,4,"167,627",,"167,627"
2006,5,"206,093",,"206,093"
2006,6,"244,843",,"244,843"
2006,7,"256,551",,"256,551"
2006,8,"242,988",,"242,988"
2006,9,"190,603",,"190,603"
2006,10,"227,892",,"227,892"
2006,11,"225,612",,"225,612"
2006,12,"210,309",,"210,309"
2006,TOTAL,"2,237,726",0,"2,237,726"
2007,1,"196,973",,"196,973"
2007,2,"195,091",,"195,091"
2007,3,"301,656",,"301,656"
2007,4,"331,758",,"331,758"
2007,5,"389,467","1,283","390,750"
2007,6,"393,967","2,843","396,810"
2007,7,"429,104","6,039","435,143"
2007,8,"439,277","9,139","448,416"
2007,9,"412,154","5,980","418,134"
2007,10,"473,896","12,655","486,551"
2007,11,"451,847","20,028","471,875"
2007,12,"417,536","17,626","435,162"
2007,TOTAL,"4,432,726","75,593","4,508,319"
2008,1,"448,251","15,663","463,914"
2008,2,"483,392","13,667","497,059"
2008,3,"508,658","13,573","522,231"
2008,4,"625,374","14,988","640,362"
2008,5,"641,605","13,628","655,233"
2008,6,"613,145","18,669","631,814"
2008,7,"637,479","23,926","661,405"
2008,8,"636,595","29,786","666,381"
2008,9,"514,312","27,008","541,320"
2008,10,"596,632","34,002","630,634"
2008,11,"557,055","26,586","583,641"
2008,12,"586,205","28,875","615,080"
2008,TOTAL,"6,848,703","260,371","7,109,074"
2009,1,"531,052","24,112","555,164"
2009,2,"540,486","28,556","569,042"
2009,3,"692,424","24,951","717,375"
2009,4,"704,329","15,726","720,055"
2009,5,"730,664","11,535","742,199"
2009,6,"761,283","8,518","769,801"
2009,7,"808,169","11,182","819,351"
2009,8,"782,429","11,653","794,082"
2009,9,"723,754","8,464","732,218"
2009,10,"861,373","9,722","871,095"
2009,11,"772,870","11,318","784,188"
2009,12,"792,324","12,381","804,705"
2009,TOTAL,"8,701,157","178,118","8,879,275"
2010,1,"723,701","13,801","737,502"
2010,2,"642,328","22,253","664,581"
2010,3,"864,644","28,544","893,188"
2010,4,"882,846","24,862","907,708"
2010,5,"954,286","27,105","981,391"
2010,6,"1,001,104","20,634","1,021,738"
2010,7,"1,018,549","26,022","1,044,571"
2010,8,"1,012,554","27,976","1,040,530"
2010,9,"921,449","22,672","944,121"
2010,10,"985,390","24,640","1,010,030"
2010,11,"881,734","19,426","901,160"
2010,12,"868,632","22,999","891,631"
2010,TOTAL,"10,757,217","280,934","11,038,151"
2011,1,"784,025","21,929","805,954"
2011,2,"734,944","22,272","757,216"
2011,3,"928,687","32,571","961,258"
2011,4,"910,943","28,552","939,495"
2011,5,"978,739","29,882","1,008,621"
2011,6,"932,094","35,209","967,303"
2011,7,"945,871","41,014","986,885"
2011,8,"886,311","44,163","930,474"
2011,9,"739,686","31,696","771,382"
2011,10,"716,326","37,457","753,783"
2011,11,"743,994","34,141","778,135"
2011,12,"763,487","28,940","792,427"
2011,TOTAL,"10,065,107","387,826","10,452,933"
2012,1,"681,776","31,945","713,721"
2012,2,"678,736","32,278","711,014"
2012,3,"772,072","40,538","812,610"
2012,4,"743,314","31,685","774,999"
2012,5,"781,746","32,320","814,066"
2012,6,"786,911","26,443","813,354"
2012,7,"812,968","27,110","840,078"
2012,8,"848,962","31,101","880,063"
2012,9,"734,386","27,727","762,113"
2012,10,"779,114","28,382","807,496"
2012,11,"787,263","23,634","810,897"
2012,12,"761,017","25,419","786,436"
2012,TOTAL,"9,168,265","358,582","9,526,847"
2013,1,"683,981","30,709","714,690"
2013,2,"621,705","32,481","654,186"
2013,3,"750,751","39,025","789,776"
2013,4,"755,688","31,210","786,898"
2013,5,"825,888","32,530","858,418"
2013,6,"824,790","31,762","856,552"
2013,7,"855,608","30,499","886,107"
2013,8,"886,174","36,885","923,059"
2013,9,"800,971","34,559","835,530"
2013,10,"873,536","34,932","908,468"
2013,11,"827,022","35,086","862,108"
2013,12,"919,953","36,074","956,027"
2013,TOTAL,"9,626,067","405,752","10,031,819"
2014,1,"815,538","30,207","845,745"
2014,2,"774,563","31,191","805,754"
2014,3,"994,663","38,135","1,032,798"
2014,4,"1,027,038","33,353","1,060,391"
2014,5,"1,113,984","37,186","1,151,170"
2014,6,"1,121,887","43,399","1,165,286"
2014,7,"1,174,393","37,558","1,211,951"
2014,8,"1,180,853","42,291","1,223,144"
2014,9,"1,076,383","45,286","1,121,669"
2014,10,"1,170,144","53,625","1,223,769"
2014,11,"1,034,852","45,600","1,080,452"
2014,12,"1,067,729","57,010","1,124,739"
2014,TOTAL,"12,552,027","494,841","13,046,868"
2015,1,"949,136","57,885","1,007,021"
2015,2,"930,210","51,514","981,724"
2015,3,"1,129,850","54,374","1,184,224"
2015,4,"1,161,819","56,698","1,218,517"
2015,5,"1,221,746","60,975","1,282,721"
2015,6,"1,147,552","60,624","1,208,176"
2015,7,"1,212,693","64,025","1,276,718"
2015,8,"1,178,276","70,910","1,249,186"
2015,9,"1,085,709","66,449","1,152,158"
2015,10,"1,141,967","81,722","1,223,689"
2015,11,"1,022,040","82,029","1,104,069"
2015,12,"945,091","74,727","1,019,818"
2015,TOTAL,"13,126,089","781,932","13,908,021"
2016,1,"823,029","69,751","892,780"
2016,2,"795,518","71,257","866,775"
2016,3,"970,652","88,486","1,059,138"
2016,4,"924,125","92,416","1,016,541"
2016,5,"997,989","80,709","1,078,698"
2016,6,"1,027,709","80,624","1,108,333"
2016,7,"1,085,037","79,370","1,164,407"
2016,8,"1,056,896","89,766","1,146,662"
2016,9,"941,560","81,397","1,022,957"
2016,10,"1,019,227","81,901","1,101,128"
2016,11,"963,028","87,959","1,050,987"
2016,12,"972,812","93,750","1,066,562"
2016,TOTAL,"11,577,582","997,386","12,574,968"
2017,1,"1,041,924","73,588","1,115,512"
2017,2,"953,288","67,279","1,020,567"
2017,3,"1,311,820","91,559","1,403,379"
2017,4,"1,285,607","98,525","1,384,132"
2017,5,"1,373,078","97,383","1,470,461"
2017,6,"1,425,604","106,511","1,532,115"
2017,7,"1,414,757","116,135","1,530,892"
